host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Eidolon dupreanum	Eidolon dupreanum	Eidolon dupreanum	Eidolon	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
ticks	Ixodida	NA	NA	NA	Ixodida	Arachnida	Arthropoda	Metazoa
Heteronotia binoei	Heteronotia binoei	Heteronotia binoei	Heteronotia	Gekkonidae	Squamata	Lepidosauria	Chordata	Metazoa
Heteronotia planiceps	Heteronotia planiceps	Heteronotia planiceps	Heteronotia	Gekkonidae	Squamata	Lepidosauria	Chordata	Metazoa
Pogonophryne immaculata	Pogonophryne immaculata	Pogonophryne immaculata	Pogonophryne	Artedidraconidae	Perciformes	Actinopteri	Chordata	Metazoa
Muraenolepis sp.	Muraenolepis	NA	Muraenolepis	Muraenolepididae	Gadiformes	Actinopteri	Chordata	Metazoa
Microgale brevicaudata; sex: male	Microgale brevicaudata	Microgale brevicaudata	Microgale	Tenrecidae	Afrosoricida	Mammalia	Chordata	Metazoa
Rattus rattus; sex: female	Rattus rattus	Rattus rattus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus rattus; sex: male	Rattus rattus	Rattus rattus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus rattus; female	Rattus rattus	Rattus rattus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus rattus; male	Rattus rattus	Rattus rattus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus musculus; male	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus musculus; female	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rousettus aegyptiacus	Rousettus aegyptiacus	Rousettus aegyptiacus	Rousettus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
