GBAC,1A,1A-chain,1B,1B-chain,2,2-chain
OR951012,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951011,NA-NA,NA,0-1302,1,NA-NA,NA
OR951010,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951009,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951008,NA-NA,NA,NA-NA,NA,NA-NA,NA
OR951007,NA-NA,NA,430-1951,1,NA-NA,NA
PX280286,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX237220,NA-NA,NA,NA-NA,NA,0-2025,1
PX237222,86-3098,1,3091-4618,1,4636-6682,1
PX237221,NA-NA,NA,NA-NA,NA,0-2022,1
PX148103,NA-NA,NA,0-99,1,91-171,1
PX132666,NA-NA,NA,2-284,1,276-767,1
PX132665,NA-NA,NA,2-284,1,276-767,1
PX132664,NA-NA,NA,1-262,1,254-749,1
PP239060,NA-NA,NA,0-1149,1,1177-3316,1
PX171445,NA-NA,NA,0-147,1,NA-NA,NA
MW826416,5-2636,1,2917-4120,1,3929-6974,1
PX146716,NA-NA,NA,NA-NA,NA,16-2233,1
PX095946,2947-3691,-1,1473-2925,-1,0-1493,-1
PX095874,NA-NA,NA,2209-2893,-1,657-2145,-1
PX095873,NA-NA,NA,0-812,-1,NA-NA,NA
PX095817,NA-NA,NA,NA-NA,NA,171-2142,-1
PX095816,NA-NA,NA,3076-4576,-1,85-3082,-1
PX095815,NA-NA,NA,34-592,-1,NA-NA,NA
PX095814,NA-NA,NA,0-582,1,NA-NA,NA
PX095800,2-2570,1,2587-4090,1,4028-6362,1
PX095793,4451-7190,-1,NA-NA,NA,98-2966,-1
PX095754,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX095750,NA-NA,NA,2807-4271,1,4263-7398,1
PX095749,0-2832,1,3002-4364,1,4353-6936,1
PX095698,NA-NA,NA,2-494,1,523-2743,1
PX095697,NA-NA,NA,2-677,-1,NA-NA,NA
PX095696,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX095695,846-2862,-1,NA-NA,NA,NA-NA,NA
PV975263,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV975262,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX113257,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX113256,NA-NA,NA,NA-NA,NA,24-691,1
PX113255,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX113254,NA-NA,NA,NA-NA,NA,NA-NA,NA
PX113253,24-2604,1,2489-4076,1,3930-6374,1
PX113252,1-2704,1,NA-NA,NA,4021-6367,1
PX113251,6-2496,1,NA-NA,NA,3846-6234,1
PV067282,NA-NA,NA,NA-NA,NA,0-368,1
PV999259,NA-NA,NA,NA-NA,NA,0-132,1
PV999258,NA-NA,NA,0-1206,1,1224-1530,1
PV999257,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV999256,NA-NA,NA,1-274,1,263-358,1
PV999255,0-348,1,359-1072,1,NA-NA,NA
PV979748,3978-6204,-1,2479-3898,-1,NA-NA,NA
PV979747,7-2317,1,2262-3966,1,3760-4302,1
PV987765,18-2460,1,2432-3923,1,3915-6201,1
PP980351,NA-NA,NA,0-726,1,538-3055,1
PP980350,2-2672,1,2623-4159,1,3971-6500,1
PP980349,NA-NA,NA,0-726,1,538-3034,1
PP980348,NA-NA,NA,0-726,1,538-3034,1
PP980347,NA-NA,NA,0-726,1,538-3034,1
PP980346,NA-NA,NA,0-726,1,538-3034,1
PP980345,NA-NA,NA,0-726,1,538-3034,1
PP980344,2-2672,1,2623-4159,1,3971-6467,1
PP980343,NA-NA,NA,0-726,1,538-3016,1
PP980342,NA-NA,NA,0-726,1,538-3034,1
PP980341,NA-NA,NA,0-726,1,538-3034,1
PP980340,NA-NA,NA,0-726,1,538-3034,1
PP980339,NA-NA,NA,0-726,1,538-3034,1
PV972769,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972768,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972767,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972766,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972765,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972764,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972763,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV972762,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV983331,NA-NA,NA,0-810,-1,NA-NA,NA
PV793827,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV793829,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV793828,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV793826,NA-NA,NA,NA-NA,NA,NA-NA,NA
PV793833,NA-NA,NA,NA-NA,NA,NA-NA,NA
