Accession	country	host	collection_year	isolate	virus name(10.1093/ve/veaf006)	species_binomial
MW504563	USA	pig	2018	15217-AST-len-6409-cov-36-668240	MAstV32*	NA
MW504565	USA	pig	2018	15212-AST-len-6392-cov-43-742307	MAstV32*	NA
MW504567	USA	pig	2018	15214-AST-len-6394-cov-119-013882	MAstV32*	NA
MW504569	USA	pig	2018	15210-AST-len-6256-cov-20-917755	MAstV32*	NA
MW784069	CHN	pig	NA	7-168877	MAstV32*	NA
MW784076	CHN	pig	NA	86-105857	MAstV32*	NA
MW784078	CHN	pig	NA	87-370059	MAstV32*	NA
MW784079	CHN	pig	NA	226-105986	MAstV32*	NA
MW784081	CHN	pig	NA	227-2671	MAstV32*	NA
MW784082	CHN	pig	NA	227-342448	MAstV32*	NA
MW784083	CHN	pig	NA	227-67505	MAstV32*	NA
MW784091	CHN	pig	NA	287-203354	MAstV32*	NA
MW784092	CHN	pig	NA	287-60804	MAstV32*	NA
MW784105	CHN	pig	NA	R69-151373	MAstV32*	NA
MW784106	CHN	pig	NA	R96-75684	MAstV32*	NA
MW784108	CHN	pig	NA	s68-555025	MAstV32*	NA
MW784109	CHN	pig	NA	s68-796037	MAstV32*	NA
MZ819164	CHL	pig	2017	PoAstV2-Swine-CHI-FB036-2017	MAstV32*	NA
MZ819165	CHL	pig	2017	PoAstV2-Swine-CHI-CF2673-2017	MAstV32*	NA
NC_023674	USA	pig	2010	NA	MAstV32*	NA
NC_027711	ARE	camel	2013	DcAstV-274	MAstV32*	NA
NC_034974	KEN	pig	2012	K321	MAstV32*	NA
OL695851	CHN	pig	2021	AH2-1	MAstV32*	NA
OL695852	CHN	pig	2021	AH2-2	MAstV32*	NA
OL695853	CHN	pig	2021	AH2-3	MAstV32*	NA
OL695854	CHN	pig	2021	AH2-4	MAstV32*	NA
OL695856	CHN	pig	2021	AH2-6	MAstV32*	NA
OL695857	CHN	pig	2021	AH2-7	MAstV32*	NA
OM104031	ZAF	pig	2021	BSF3	MAstV32*	NA
ON714996	ESP	pig	2017	SP-VC36	MAstV32*	NA
ON714997	ESP	pig	2017	SP-VC9	MAstV32*	NA
ON714998	ESP	pig	2017	SP-VC29	MAstV32*	NA
ON714999	ESP	pig	2017	SP-VC41	MAstV32*	NA
OP076744	SAU	camel	2014	DcAstV-Jd70-KSA-2014	MAstV32*	NA
OP076747	SAU	camel	2014	DcAstV-Jd53-KSA-2014	MAstV32*	NA
OP076748	SAU	camel	2014	DcAstV-Jd57-KSA-2014	MAstV32*	NA
OP076749	SAU	camel	2014	DcAstV-Jd67-KSA-2014	MAstV32*	NA
OP076750	SAU	camel	2014	DcAstV-Jd74-KSA-2014	MAstV32*	NA
OP076765	CHN	camel	2015	BcAstV-NMG31-CHN-2015	MAstV32*	NA
OP076766	CHN	camel	2015	BcAstV-NMG59-CHN-2015	MAstV32*	NA
HQ916313	HKG	cow	NA	B18/HK	NA	NA
HQ916317	HKG	cow	NA	B76-2/HK	NA	NA
KJ620980	CHN	cow	2014	NA	NA	NA
KJ656124	GMB	human	2009	VA5-human-Gambia-102139-2009	NA	NA
KM822593	CHN	yak	2013	S8	NA	NA
KP747574	CHN	pig	2006	AstV-LL-2	NA	NA
KT946731	HKG	rat	NA	HK-CWRN1RV	NA	NA
KT946735	CHN	rat	NA	HN-014	NA	NA
KT946736	CHN	rat	NA	GX-006	NA	NA
KT956903	CHE	cow	2015	CH15	NA	NA
KX599352	HUN	dog	2012	NA	NA	NA
KY859988	CHE	sheep	2006	NA	NA	NA
LC047793	JPN	cow	2009	NA	NA	NA
LC047796	JPN	cow	2014	NA	NA	NA
LC732125	JPN	human	2019	Child-with-acute-gastroenteritis	NA	NA
LN879482	DEU	cow	2014	NA	NA	NA
LT706530	NA	sheep	NA	UK-2014-lamb-lib01455	NA	NA
LT706531	NA	sheep	NA	UK-2013-ewe-lib01454	NA	NA
MK286562	CHE	sheep	1992	NA	NA	NA
MK378498	CHN	pig	2017	PoAstV-VIRES-GZ04-C6	NA	NA
MN150124	SVN	deer	2014	NA	NA	NA
MN150125	SVN	deer	2014	NA	NA	NA
MT506231	CHN	rat	2016	RoAstV-CHN-S3	NA	NA
MW037839	AUS	cat	2018	NA	NA	NA
MW037840	AUS	cat	2017	NA	NA	NA
MW373713	CHN	cow	2019	BoAstv-CHN-Hunan-1-2019	NA	NA
MW373714	CHN	cow	2019	BoAstv-CHN-HLJ-2-2019	NA	NA
MW450837	CHN	bat	2020	BF2-astro-YN-CHN-2020	NA	NA
MW504545	USA	pig	2018	15211-AST-len-6388-cov-52-529133	NA	NA
MZ357118	CHN	rat	2020	Moin135AstV01-8	NA	NA
NC_024297	CHN	cow	2014	NA	NA	NA
NC_024472	BFA	human	2010	NA	NA	NA
NC_024701	USA	cat	2013	FAstV-D1	NA	NA
NC_033792	CHN	marmot	2013	HHMAstV1	NA	NA
NC_033821	CHN	marmot	2013	HHMAstV2	NA	NA
ON624252	CHN	cow	2021	NA	NA	NA
ON624266	CHN	cow	2021	NA	NA	NA
ON624284	CHN	cow	2021	NA	NA	NA
OQ198033	CHN	dog	2020	AstroviridaeDogfe437C1full	NA	NA
OQ198035	CHN	dog	2020	AstroviridaeDogfe376C1full	NA	NA
OQ198038	CHN	dog	2020	AstroviridaeDogfe360C3full	NA	NA
OQ198039	CHN	dog	2020	AstroviridaeDogfe352C7full	NA	NA
OQ198040	CHN	dog	2020	AstroviridaeDogfe352C1full	NA	NA
OQ198041	CHN	dog	2020	AstroviridaeDogfe351C1full	NA	NA
OQ198045	CHN	dog	2020	AstroviridaeDogfe331C1full	NA	NA
OQ198051	CHN	dog	2020	AstroviridaeDogfe316C1full	NA	NA
